iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_relaxed,CI_left_relaxed,CI_right_relaxed,CI_df_left_relaxed,CI_df_right_relaxed,CI_boot_left_relaxed,CI_boot_right_relaxed,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,1.77677123213961,1.63002822422441,1.92351424005482,1.62704126394577,1.92650120033345,1.67612445418042,1.8774180100988,1.77549181694904,1.62898859434119,1.9219950395569,1.62606484304531,1.92491879085277,1.60050410620236,1.95047952769572,1.73543577014273,1.32617737738159,2.14469416290387,1.73891737722399,1.32965898446285,2.14817576998513,1.83021275270419,1.65193633228766,2.00848917312072,3,4000
2,ATE_intercept,1.74339011337764,1.5977196613433,1.88906056541199,1.59422948907062,1.89255073768466,1.69559569219402,1.79118453456126,1.77390610371066,1.62841553386377,1.91939667355754,1.62572380487875,1.92208840254256,1.7517702397633,1.79604196765801,1.78056656307362,1.15524095764305,2.40589216850418,1.77856589581335,1.15324029038278,2.40389150124391,1.72870152349249,1.5487936778646,1.90860936912038,3,4000
3,ATE_intercept,1.73115260218399,1.58612185491479,1.87618334945319,1.58336195834446,1.87894324602352,1.66429851793751,1.79800668643048,1.74139964569582,1.59770246220394,1.88509682918769,1.59545964324581,1.88733964814583,1.58599627058895,1.89680302080268,1.73265808192051,1.47472657496123,1.99058958887978,1.73412863664239,1.47619712968312,1.99206014360166,1.72382601270723,1.54411921670115,1.90353280871331,3,4000
4,ATE_intercept,1.84369920871835,1.7062569643386,1.9811414530981,1.70298237610305,1.98441604133365,1.77601955563565,1.91137886180105,1.83980300896413,1.70292558971058,1.97668042821768,1.7005736322158,1.97903238571246,1.69581927718042,1.98378674074783,2.18487923434644,1.45264284221082,2.91711562648206,2.18375919748494,1.45152280534931,2.91599558962056,1.82858720483266,1.6558492171055,2.00132519255982,3,4000
5,ATE_intercept,1.85929797540806,1.717720827291,2.00087512352512,1.71427169465854,2.00432425615758,1.81675188520872,1.9018440656074,1.84822742893205,1.70685424359504,1.98960061426906,1.70392023463116,1.99253462323294,1.68312059963057,2.01333425823353,1.74351951865843,0.943748498649584,2.54329053866728,1.73307074960316,0.933299729594312,2.53284176961201,1.9323886203779,1.75641104692034,2.10836619383546,3,4000
6,ATE_intercept,1.70295173352345,1.56020364033838,1.84569982670851,1.55731694848019,1.8485865185667,1.62768803736036,1.77821542968653,1.71279975119213,1.56953713099143,1.85606237139284,1.56848704339257,1.8571124589917,1.58567827300026,1.839921229384,1.73060313258873,1.53807147323962,1.92313479193783,1.73184635323101,1.53931469388191,1.92437801258012,1.80969243499507,1.63273549525747,1.98664937473267,3,4000
7,ATE_intercept,1.72679303022676,1.5815738793185,1.87201218113502,1.57801650392367,1.87556955652986,1.65492108238432,1.7986649780692,1.73412009333728,1.58917358219735,1.87906660447721,1.58656842998098,1.88167175669358,1.54617412805107,1.92206605862348,1.85118694891064,1.69569110687841,2.00668279094287,1.84447989966701,1.68898405763478,1.99997574169924,1.78809318700238,1.60444573373354,1.97174064027122,3,4000
8,ATE_intercept,1.89004693738087,1.74556620881309,2.03452766594864,1.74189079398497,2.03820308077676,1.82358952885204,1.9565043459097,1.89632924934176,1.7526568106376,2.04000168804592,1.7492337868091,2.04342471187441,1.86554420084443,1.92711429783909,2.25423234158762,1.53964917690148,2.96881550627377,2.28319018423072,1.56860701954457,2.99777334891686,1.96502880521163,1.78824129502037,2.14181631540288,3,4000
9,ATE_intercept,1.72956611315582,1.5887096099443,1.87042261636735,1.58489802768215,1.8742341986295,1.66766935095382,1.79146287535783,1.73319041090321,1.59412924945765,1.87225157234878,1.59183115113221,1.87454967067422,1.63479735463003,1.8315834671764,2.07656542037234,1.73280093277348,2.4203299079712,2.0706147728685,1.72685028526964,2.41437926046735,1.75644144832411,1.58024026796554,1.93264262868267,3,4000
10,ATE_intercept,1.76466737857435,1.62412821888802,1.90520653826067,1.62104306662795,1.90829169052075,1.74302509284282,1.78630966430587,1.77913540451181,1.63877233424421,1.91949847477942,1.63632353774005,1.92194727128358,1.7222479641042,1.83602284491943,1.66834880363287,1.31756647613683,2.0191311311289,1.66934393621428,1.31856160871824,2.02012626371031,1.89397074810389,1.72013421763889,2.06780727856889,3,4000
11,ATE_intercept,1.81835783530062,1.67622140221896,1.96049426838228,1.67287309396164,1.9638425766396,1.73363279590076,1.90308287470049,1.81555570417926,1.6726128397397,1.95849856861881,1.66957018045842,1.96154122790009,1.7080110510753,1.92310035728321,1.924633193412,1.69069915022893,2.15856723659506,1.92087725260012,1.68694320941705,2.15481129578318,1.87708495152259,1.70155194463359,2.05261795841159,3,4000
12,ATE_intercept,1.91084027444314,1.76913396889501,2.05254657999128,1.76628715046254,2.05539339842374,1.72513593423266,2.09654461465362,1.91667338838196,1.77381847910189,2.05952829766204,1.77164489210909,2.06170188465483,1.88030902238109,1.95303775438283,1.9146464468228,1.68557439387999,2.14371849976562,1.91410398458959,1.68503193164677,2.1431760375324,1.9746287896318,1.79233355807262,2.15692402119098,3,4000
13,ATE_intercept,1.70144506519286,1.55752327421719,1.84536685616853,1.55468920332666,1.84820092705906,1.61555774848677,1.78733238189895,1.70709596901783,1.56309344198625,1.8510984960494,1.56054321829947,1.85364871973618,1.62535747560663,1.78883446242902,1.66024616730122,1.46188966840421,1.85860266619823,1.66317783799784,1.46482133910083,1.86153433689485,1.79543242792972,1.61908054305233,1.9717843128071,3,4000
14,ATE_intercept,1.75576033685978,1.61500223033561,1.89651844338395,1.61132656099084,1.90019411272872,1.72197837799954,1.78954229572002,1.7612624047217,1.62079256676402,1.90173224267938,1.61778384025289,1.90474096919051,1.44011944211027,2.08240536733313,1.77234310868378,1.51589297895444,2.02879323841312,1.77261702349343,1.51616689376409,2.02906715322277,1.82742523808582,1.64553758329061,2.00931289288102,3,4000
15,ATE_intercept,1.71908894014135,1.57280329188936,1.86537458839335,1.56972842024282,1.86844946003989,1.3820140027723,2.05616387751041,1.73726721996603,1.59079833032324,1.88373610960883,1.58851225070438,1.88602218922768,1.649123708421,1.82541073151106,1.86439073247953,1.44747758750211,2.28130387745695,1.87007597338063,1.45316282840321,2.28698911835804,1.69160191615031,1.50928263459466,1.87392119770597,3,4000
16,ATE_intercept,1.76665059289859,1.62825416630212,1.90504701949505,1.62506810775625,1.90823307804092,1.6220992107334,1.91120197506377,1.76098069099789,1.62166343550323,1.90029794649254,1.61952544989444,1.90243593210133,1.63619387590943,1.88576750608634,1.82656266521293,1.6034476668318,2.04967766359407,1.82483836746911,1.60172336908797,2.04795336585024,1.72646201647299,1.5517611866553,1.90116284629069,3,4000
17,ATE_intercept,1.75690163017606,1.61224307519467,1.90156018515744,1.6096430984711,1.90416016188101,1.64600054383936,1.86780271651275,1.75394864674644,1.60891507637518,1.89898221711769,1.60714270628646,1.90075458720641,1.5418320219753,1.96606527151757,1.64099754857373,1.16634484976208,2.11565024738539,1.64521206846005,1.17055936964839,2.1198647672717,1.72264309402919,1.54674140076195,1.89854478729643,3,4000
18,ATE_intercept,1.78904986283983,1.64472609117584,1.93337363450382,1.64184583498135,1.93625389069831,1.69093133534272,1.88716839033694,1.7881735148977,1.64493473174937,1.93141229804604,1.64258639847314,1.93376063132226,1.5487550386653,2.02759199113011,2.03000509678105,1.67146982305853,2.38854037050357,2.02386454938514,1.66532927566262,2.38239982310766,1.79052807685667,1.61054648900475,1.9705096647086,3,4000
19,ATE_intercept,1.84180323318392,1.69494218361442,1.98866428275341,1.69122600696032,1.99238045940751,1.8173610703472,1.86624539602063,1.82564467099987,1.67935160126124,1.97193774073849,1.67681860582617,1.97447073617356,1.80252529328262,1.84876404871711,2.09893033366029,1.57487810729853,2.62298256002205,2.10408941342411,1.58003718706235,2.62814163978587,1.87335618483693,1.6949519991567,2.05176037051717,3,4000
20,ATE_intercept,1.78231031933139,1.63643876792435,1.92818187073844,1.6330220207858,1.93159861787699,1.67024093985881,1.89437969880397,1.76917196609241,1.62352041099373,1.9148235211911,1.62126615692201,1.91707777526282,1.68902175568268,1.84932217650214,1.66453296784404,1.34483631573832,1.98422961994976,1.65737887265427,1.33768222054855,1.97707552475999,1.88090926448168,1.69775998046232,2.06405854850104,3,4000
21,ATE_intercept,1.70679078285937,1.56476116855202,1.84882039716673,1.56160538507906,1.85197618063969,1.58866167933114,1.82491988638761,1.6973811744507,1.5560667571055,1.83869559179589,1.55441305971268,1.84034928918871,1.68527388495382,1.70948846394757,1.86689373572072,1.63157694489685,2.1022105265446,1.85961284646103,1.62429605563716,2.0949296372849,1.72756050724018,1.54860871594548,1.90651229853487,3,4000
22,ATE_intercept,1.69955398980439,1.5505562988251,1.84855168078368,1.54662520580453,1.85248277380425,1.50672788189132,1.89238009771746,1.70953024898822,1.56157915317336,1.85748134480308,1.55842988946844,1.860630608508,1.702859667244,1.71620083073245,1.98752100931244,1.15649935706425,2.81854266156063,1.99332676893539,1.1623051166872,2.82434842118358,1.7271291748119,1.54412425847562,1.91013409114817,3,4000
23,ATE_intercept,1.6667452074658,1.51982594572527,1.81366446920633,1.51706896294543,1.81642145198617,1.63256651729557,1.70092389763602,1.6873190014559,1.53987154927261,1.83476645363919,1.53661506894823,1.83802293396357,1.55806296228993,1.81657504062187,1.78855045275131,1.54661388953324,2.03048701596939,1.78466820153569,1.54273163831762,2.02660476475377,1.79380866412953,1.60843903985186,1.97917828840719,3,4000
24,ATE_intercept,1.79808094437853,1.65487109933795,1.94129078941911,1.65103460848798,1.94512728026909,1.77284881600943,1.82331307274764,1.80159341277473,1.65881604372389,1.94437078182556,1.65541434510418,1.94777248044527,1.79213938783262,1.81104743771683,1.60205498491899,1.27493097871619,1.9291789911218,1.61519332589036,1.28806931968756,1.94231733209317,1.95493080616949,1.77639492605447,2.13346668628451,3,4000
