iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_relaxed,CI_left_relaxed,CI_right_relaxed,CI_df_left_relaxed,CI_df_right_relaxed,CI_boot_left_relaxed,CI_boot_right_relaxed,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,1.76858568122883,1.59611003177043,1.94106133068723,1.58872828261383,1.94844307984383,-1958.19539885882,1961.73257022128,1.75174260100513,1.57728248370222,1.92620271830804,1.57357359895085,1.92991160305941,-1958.21224193905,1961.71572714106,1.56861865578734,1.32722231063667,1.81001500093801,1.58081500621015,1.33941866105949,1.82221135136082,1.8332023927118,1.60920441150719,2.05720037391641,3,2500
2,ATE_intercept,1.86644805450869,1.68471298201094,2.04818312700644,1.67513737897226,2.05775873004512,-1958.09753648554,1961.83043259456,1.88925705328901,1.70555638565969,2.07295772091833,1.70145507993653,2.07705902664149,-1958.07472748676,1961.85324159334,1.91971694177757,1.63946195452715,2.19997192902798,1.91755875162081,1.6373037643704,2.19781373887122,1.91129390622054,1.67781543870257,2.14477237373851,3,2500
3,ATE_intercept,1.77408982245407,1.59340902182422,1.95477062308391,1.58518244087434,1.96299720403379,-1958.1898947176,1961.73807436251,1.75046868424793,1.57017084744312,1.93076652105273,1.56660613013027,1.93433123836558,-1958.21351585581,1961.7144532243,1.6308740326138,1.38754016034062,1.87420790488699,1.639203709965,1.39586983769181,1.88253758223818,1.74193815821029,1.50952537592122,1.97435094049937,3,2500
4,ATE_intercept,1.78175746526585,1.60677995321072,1.95673497732098,1.5998834879916,1.96363144254009,-1958.18222707479,1961.74574200532,1.75944192890767,1.58269759504309,1.93618626277225,1.5793902794719,1.93949357834345,-1958.20454261115,1961.72342646896,1.6032847350454,1.27634941517693,1.93022005491387,1.61230339463698,1.2853680747685,1.93923871450545,1.90362673458022,1.67705337924797,2.13020008991247,3,2500
5,ATE_intercept,1.7720093800124,1.58955756607093,1.95446119395388,1.5819554071567,1.96206335286811,-1958.19197516004,1961.73599392007,1.76483063702036,1.58937663754232,1.9402846364984,1.58587046384238,1.94379081019834,-1958.19915390303,1961.72881517707,1.83019798559753,1.59803902458931,2.06235694660574,1.82527416231202,1.5931152013038,2.05743312332023,1.78609216397527,1.56496431191694,2.0072200160336,3,2500
6,ATE_intercept,1.75169136954176,1.57891890369879,1.92446383538473,1.56985583548416,1.93352690359936,-1958.21229317051,1961.7156759096,1.72206489920893,1.54862919506285,1.89550060335501,1.5453837919861,1.89874600643176,-1958.24191964084,1961.68604943926,1.57150632347838,0.899145517694229,2.24386712926254,1.55343031201677,0.881069506232615,2.22579111780093,1.75436089322256,1.53067745959997,1.97804432684515,3,2500
7,ATE_intercept,1.8898097704628,1.7102938952951,2.06932564563051,1.70289517569145,2.07672436523415,-1958.07417476959,1961.85379431052,1.89801139109559,1.71795863376693,2.07806414842425,1.71481740465396,2.08120537753723,-1958.06597314896,1961.86199593115,1.913327284083,1.70568206034303,2.12097250782297,1.91168856490816,1.70404334116819,2.11933378864813,1.99575917585217,1.77052783077829,2.22099052092606,3,2500
8,ATE_intercept,1.83348263318052,1.65321147615467,2.01375379020637,1.6461468445974,2.02081842176363,-1958.13050190687,1961.79746717323,1.82952087586667,1.64902037639366,2.01002137533969,1.64510612616898,2.01393562556437,-1958.13446366419,1961.79350541592,1.92268233876939,1.55734427952626,2.28802039801252,1.91696011295168,1.55162205370855,2.28229817219481,1.85766978981753,1.63274460613741,2.08259497349765,3,2500
9,ATE_intercept,1.75943466669592,1.58289620908858,1.93597312430325,1.57485823323719,1.94401110015465,-1958.20454987336,1961.72341920675,1.73792543875131,1.56072804213107,1.91512283537156,1.55696096497631,1.91888991252632,-1958.2260591013,1961.7019099788,1.71294117648189,1.47843218069817,1.94745017226561,1.71279409196408,1.47828509618036,1.9473030877478,1.80816563104392,1.58687483288095,2.02945642920689,3,2500
10,ATE_intercept,1.7233964153848,1.55135653500436,1.89543629576524,1.54371968766288,1.90307314310672,-1958.24058812467,1961.68738095544,1.78062969115546,1.60908066665077,1.95217871566015,1.60557966615067,1.95567971616024,-1958.1833548489,1961.74461423121,1.46349763094347,1.0361253014578,1.89086996042914,1.48056750301402,1.05319517352834,1.90793983249969,1.86531022488632,1.6467145365779,2.08390591319473,3,2500
12,ATE_intercept,1.76217165186742,1.58842497318492,1.93591833054992,1.5805934883085,1.94374981542635,-1958.20181288819,1961.72615619192,1.75901852171335,1.58542085249426,1.93261619093244,1.58213570193299,1.93590134149371,-1958.20496601834,1961.72300306177,1.88709793603347,1.64994693813241,2.12424893393453,1.87647117064852,1.63932017274746,2.11362216854958,1.81855371920555,1.60073808938164,2.03636934902946,3,2500
13,ATE_intercept,1.69262643075094,1.52089223762145,1.86436062388043,1.51287640625056,1.87237645525131,-1958.2713581093,1961.6566109708,1.69640572143497,1.52293487081789,1.86987657205204,1.51954191318929,1.87326952968064,-1958.26757881862,1961.66039026149,1.68241095125513,1.41263519084152,1.95218671166874,1.68322303882545,1.41344727841184,1.95299879923906,1.9074463230437,1.68681523280907,2.12807741327832,3,2500
14,ATE_intercept,1.70760436227409,1.52930731892642,1.88590140562177,1.5215144629858,1.89369426156239,-1958.25638017778,1961.67158890233,1.69598436807072,1.51814757712151,1.87382115901992,1.51470690873215,1.87726182740929,-1958.26800017198,1961.65996890812,2.01200205911578,1.56863948934538,2.45536462888618,2.00822715615736,1.56486458638696,2.45158972592776,1.64816038179334,1.42318405364677,1.87313670993992,3,2500
15,ATE_intercept,1.7096331894439,1.53144582174116,1.88782055714665,1.52341417655567,1.89585220233213,-1958.25435135061,1961.6736177295,1.71055857956998,1.53220484407215,1.88891231506782,1.52848912544464,1.89262803369533,-1958.25342596048,1961.67454311962,1.43155122533508,0.835421065522563,2.0276813851476,1.42459101344096,0.82846085362844,2.02072117325348,1.74171016831997,1.51255223816289,1.97086809847705,3,2500
16,ATE_intercept,1.83654155877081,1.66291893265436,2.01016418488725,1.6551326612493,2.01795045629231,-1958.12744298128,1961.80052609882,1.84223278600792,1.66983544552059,2.01463012649525,1.66660947274874,2.0178560992671,-1958.12175175405,1961.80621732606,1.84522012810338,1.66303674890216,2.0274035073046,1.84501160248732,1.66282822328609,2.02719498168854,1.87394683934577,1.65434894835948,2.09354473033207,3,2500
17,ATE_intercept,1.82639157115082,1.6475308300107,2.00525231229093,1.63987580665403,2.0129073356476,-1958.1375929689,1961.7903761112,1.82874225335188,1.6479920985308,2.00949240817296,1.64460982432452,2.01287468237924,-1958.1352422867,1961.79272679341,1.77093585405093,1.56265574178549,1.97921596631637,1.77636226060041,1.56808214833497,1.98464237286585,1.79382996534216,1.56157993517402,2.0260799955103,3,2500
