iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_relaxed,CI_left_relaxed,CI_right_relaxed,CI_df_left_relaxed,CI_df_right_relaxed,CI_boot_left_relaxed,CI_boot_right_relaxed,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,0.808447833438115,0.418411413312515,1.19848425356372,0.40615598290585,1.21073968397038,-1959.15553670662,1960.77243237349,0.9379826690272,0.589265840772974,1.28669949728143,0.58354879044785,1.29241654760655,-1959.02600187103,1960.90196720908,0.756289604246261,0.350098053807013,1.16248115468551,0.76019113961855,0.353999589179303,1.1663826900578,0.71518825532886,0.309586104999571,1.12079040565815,1,250
2,ATE_intercept,0.990258156098288,0.604872127163013,1.37564418503356,0.594443566759493,1.38607274543708,-1958.97372638396,1960.95424269615,1.09032173569429,0.72959863306441,1.45104483832416,0.723684745451088,1.45695872593749,-1958.87366280436,1961.05430627575,0.899152617684331,0.414582731083906,1.38372250428476,0.903077882079251,0.418507995478825,1.38764776867968,0.934644276317877,0.493460983832596,1.37582756880316,1,250
3,ATE_intercept,0.856376681300947,0.450115174781876,1.26263818782002,0.433737565549012,1.27901579705288,-1959.10760785875,1960.82036122135,0.856606086650598,0.450156258725537,1.26305591457566,0.434683324194264,1.27852884910693,-1959.1073784534,1960.8205906267,0.873752627078757,0.48267323398113,1.26483202017638,0.873212859445227,0.4821334663476,1.26429225254285,0.799841971287998,0.386099163129886,1.21358477944611,1,250
4,ATE_intercept,1.14624523509879,0.750985656334407,1.54150481386317,0.740289917302034,1.55220055289554,-1958.81773930495,1961.11022977515,1.10289359930916,0.715834428799628,1.48995276981869,0.708673425930001,1.49711377268832,-1958.86109094074,1961.06687813936,1.03015761293548,0.631947901650097,1.42836732422086,1.03228766565336,0.634077954367977,1.43049737693874,1.04305489087625,0.623278234803297,1.4628315469492,1,250
5,ATE_intercept,1.10163622888983,0.71286338377827,1.4904090740014,0.698063385434915,1.50520907234475,-1958.86234831116,1961.06562076894,1.39313536411807,1.03252984406241,1.75374088417374,1.02661788416074,1.75965284407541,-1958.57084917594,1961.35711990417,1.10417106896397,0.704134945301499,1.50420719262644,1.10940300951733,0.709366885854855,1.5094391331798,1.14092086379814,0.745051512588508,1.53679021500776,1,250
6,ATE_intercept,1.24067670016613,0.846270847733761,1.6350825525985,0.834740900636278,1.64661249969599,-1958.72330783989,1961.20466124022,1.24646718133056,0.864007457323663,1.62892690533746,0.855305088411724,1.6376292742494,-1958.71751735872,1961.21045172138,1.07088407470558,0.67202505336302,1.46974309604814,1.07557315116258,0.676714129820017,1.47443217250514,1.10885506183463,0.690107283018604,1.52760284065065,1,250
7,ATE_intercept,1.12697117053198,0.709504940100832,1.54443740096312,0.693612627670897,1.56032971339306,-1958.83701336952,1961.09095571059,1.13191445677274,0.714834447454541,1.54899446609094,0.699886930511642,1.56394198303384,-1958.83207008328,1961.09589899683,1.1354834146541,0.732327855412783,1.53863897389542,1.13540953538374,0.732253976142423,1.53856509462506,1.13537804323116,0.710317328881289,1.56043875758103,1,250
8,ATE_intercept,1.34055922057691,1.00284064911511,1.6782777920387,0.996592499365344,1.68452594178847,-1958.62342531948,1961.30454376063,1.34055922057691,1.00284064911511,1.6782777920387,0.996592499365344,1.68452594178847,-1958.62342531948,1961.30454376063,1.2072899550055,0.872871134605555,1.54170877540545,1.21017337849988,0.87575455809993,1.54459219889982,1.27977019523101,0.921914378934439,1.63762601152757,1,250
9,ATE_intercept,1.36942142875728,0.948648969621272,1.79019388789329,0.931686380744157,1.8071564767704,-1958.5945631113,1961.33340596881,1.633720719117,1.23118080403197,2.03626063420203,1.2220215367341,2.0454199014999,-1958.33026382094,1961.59770525917,1.44181110005824,1.03797904435986,1.84564315575662,1.4468393029895,1.04300724729112,1.85067135868788,1.40104023719157,0.979526445509514,1.82255402887362,1,250
10,ATE_intercept,0.917788306562132,0.491383441460039,1.34419317166422,0.475150848632475,1.36042576449179,-1959.04619623349,1960.88177284662,0.910184461752503,0.492142855144825,1.32822606836018,0.479921947217096,1.34044697628791,-1959.0538000783,1960.87416900181,0.902860326378338,0.504927304693927,1.30079334806275,0.903078484535073,0.505145462850663,1.30101150621948,0.908120755819598,0.486166072227082,1.33007543941212,1,250
11,ATE_intercept,0.863005681963819,0.524164511736067,1.20184685219157,0.514258926555013,1.21175243737263,-1959.10097885809,1960.82699022202,0.926191307003782,0.604669681031358,1.24771293297621,0.598721191855388,1.25366142215218,-1959.03779323305,1960.89017584706,0.826554247215187,0.47423430929426,1.17887418513612,0.831277504723039,0.478957566802111,1.18359744264397,0.826131532375765,0.442239377809925,1.2100236869416,1,250
